f0 pts=13 lon=[-66.29,-59.57] maxJump=2.25@7
f1 pts=12 lon=[-163.71,-159.21] maxJump=1.92@0
f2 pts=22 lon=[-54.16,-43.33] maxJump=2.37@8
f3 pts=10 lon=[-122.62,-118.72] maxJump=1.39@4
f4 pts=8 lon=[-127.28,-124.03] maxJump=1.53@0
f5 pts=14 lon=[-102.33,-96.20] maxJump=1.45@12
f6 pts=26 lon=[-75.01,-68.33] maxJump=1.31@5
f7 pts=559 lon=[-180.00,180.00] maxJump=4.25@403 DM=180.00:-84.71;180.00:-90.00;-180.00:-90.00;-180.00:-84.71;-179.94:-84.72
f8 pts=24 lon=[-74.66,-65.05] maxJump=1.40@14
f9 pts=10 lon=[-61.20,-57.75] maxJump=1.35@2
f10 pts=9 lon=[68.72,70.56] maxJump=1.53@0
f11 pts=17 lon=[144.72,148.36] maxJump=0.97@0
f12 pts=30 lon=[166.51,174.25] maxJump=1.26@19
f13 pts=36 lon=[172.64,178.52] maxJump=1.08@21
f14 pts=13 lon=[164.03,167.12] maxJump=0.82@10
f15 pts=9 lon=[177.29,178.72] maxJump=0.62@2
f16 pts=8 lon=[178.60,180.00] maxJump=0.64@0 DM=180.00:-16.07;180.00:-16.56
f17 pts=5 lon=[-180.00,-179.79] maxJump=0.21@2 DM=-179.92:-16.50;-180.00:-16.56;-180.00:-16.07;-179.92:-16.50
f18 pts=5 lon=[167.18,167.84] maxJump=0.63@3
f19 pts=7 lon=[166.63,167.27] maxJump=0.48@5
f20 pts=49 lon=[43.25,50.48] maxJump=0.87@16
f21 pts=224 lon=[113.34,153.57] maxJump=1.79@80
f22 pts=6 lon=[161.32,162.40] maxJump=0.70@1
f23 pts=7 lon=[118.97,120.78] maxJump=1.33@1
f24 pts=8 lon=[159.64,160.85] maxJump=0.66@4
f25 pts=7 lon=[160.58,161.68] maxJump=0.74@1
f26 pts=15 lon=[123.46,127.34] maxJump=1.04@11
f27 pts=10 lon=[116.74,119.13] maxJump=1.16@3
f28 pts=9 lon=[119.92,122.90] maxJump=1.50@1
f29 pts=9 lon=[158.21,159.92] maxJump=0.82@6
f30 pts=7 lon=[156.49,157.54] maxJump=0.60@4
f31 pts=23 lon=[105.37,115.71] maxJump=1.92@0
f32 pts=7 lon=[134.11,134.73] maxJump=0.51@0
f33 pts=11 lon=[154.51,156.02] maxJump=0.48@7
f34 pts=22 lon=[148.32,152.34] maxJump=0.90@8
f35 pts=6 lon=[125.99,127.25] maxJump=1.01@3
f36 pts=9 lon=[127.90,130.83] maxJump=1.24@6
f37 pts=14 lon=[150.66,153.14] maxJump=0.72@5
f38 pts=67 lon=[130.52,150.80] maxJump=1.94@47
f39 pts=45 lon=[118.77,125.24] maxJump=1.86@8
f40 pts=13 lon=[127.40,128.69] maxJump=0.59@10
f41 pts=35 lon=[95.29,106.11] maxJump=1.55@16
f42 pts=46 lon=[108.95,119.18] maxJump=1.20@26
f43 pts=27 lon=[121.92,126.54] maxJump=1.18@7
f44 pts=10 lon=[79.70,81.79] maxJump=0.87@0
f45 pts=8 lon=[-61.95,-60.90] maxJump=0.84@0
f46 pts=12 lon=[122.38,124.08] maxJump=0.74@9
f47 pts=9 lon=[117.17,119.69] maxJump=1.33@0
f48 pts=9 lon=[121.88,123.12] maxJump=0.64@1
f49 pts=14 lon=[124.27,125.78] maxJump=0.96@11
